"",ID,Imagen,Objeto,Filtro,Fecha,Estrella,Brillo,Tamano,Brillo maximo correspondiente,Promedio correspondiente,Max_brillo_fecha,Min_brillo_fecha,Brillo relativo,Error correspondiente
350,351,4045o.fits,PG1633+099,R-Johnson+Vacio,2006-04-29,C,458885.0,6.99,574574.0,552862.0,458885.0,458885.0,0.798653,0.000000
351,352,4045o.fits,PG1633+099,R-Johnson+Vacio,2006-04-29,D,0.0,0.00,574574.0,115833.0,0.0,0.0,0.000000,0.000000
352,353,4045o.fits,PG1633+099,R-Johnson+Vacio,2006-04-29,2R,83039.0,8.61,574574.0,119994.0,83039.0,83039.0,0.144523,0.000000
353,354,4046o.fits,PG1633+099,I-Johnson+Vacio,2006-04-29,A,88369.0,6.33,785808.0,121004.0,88369.0,88369.0,0.112456,0.000000
355,356,4046o.fits,PG1633+099,I-Johnson+Vacio,2006-04-29,C,642727.0,6.29,785808.0,855971.0,642727.0,642727.0,0.817919,0.000000
356,357,4046o.fits,PG1633+099,I-Johnson+Vacio,2006-04-29,D,0.0,0.00,785808.0,96384.8,0.0,0.0,0.000000,0.000000
357,358,4046o.fits,PG1633+099,I-Johnson+Vacio,2006-04-29,2R,61127.0,6.70,785808.0,82699.5,61127.0,61127.0,0.077789,0.000000
358,359,2073o.fits,PG1633,B-Johnson+Vacio,2006-04-25,A,7882.0,3.97,210505.0,31160.9,7882.0,7882.0,0.037443,0.000000
360,361,2073o.fits,PG1633,B-Johnson+Vacio,2006-04-25,C,147433.0,7.37,210505.0,173791.0,147433.0,147433.0,0.700378,0.000000
361,362,2073o.fits,PG1633,B-Johnson+Vacio,2006-04-25,D,196212.0,7.66,210505.0,46516.1,196212.0,196212.0,0.932101,0.000000
362,363,2073o.fits,PG1633,B-Johnson+Vacio,2006-04-25,2R,130038.0,9.27,210505.0,175546.0,130038.0,130038.0,0.617743,0.000000
363,364,2074o.fits,PG1633,R-Johnson+Vacio,2006-04-25,A,71695.0,7.48,679069.0,86487.5,71695.0,71695.0,0.105578,0.000000
365,366,2074o.fits,PG1633,R-Johnson+Vacio,2006-04-25,C,3245.0,6.92,679069.0,548466.0,3245.0,3245.0,0.004779,0.000000
366,367,2074o.fits,PG1633,R-Johnson+Vacio,2006-04-25,D,300316.0,6.91,679069.0,139578.0,300316.0,300316.0,0.442247,0.000000
367,368,2074o.fits,PG1633,R-Johnson+Vacio,2006-04-25,2R,84849.0,7.90,679069.0,107566.0,84849.0,84849.0,0.124949,0.000000
368,369,2075o.fits,PG1633,I-Johnson+Vacio,2006-04-25,A,98940.0,6.95,899815.0,110671.0,98940.0,98940.0,0.109956,0.000000
370,371,2075o.fits,PG1633,I-Johnson+Vacio,2006-04-25,C,741643.0,5.92,899815.0,597461.0,741643.0,741643.0,0.824217,0.000000
371,372,2075o.fits,PG1633,I-Johnson+Vacio,2006-04-25,D,319597.0,5.72,899815.0,160475.0,319597.0,319597.0,0.355181,0.000000
372,373,2075o.fits,PG1633,I-Johnson+Vacio,2006-04-25,2R,60219.0,7.10,899815.0,73247.0,60219.0,60219.0,0.066924,0.000000
373,374,3074o.fits,PG1633,B-Johnson+Vacio,2006-04-26,A,33120.0,11.18,219757.0,31160.9,33120.0,33120.0,0.150712,0.000000
375,376,3074o.fits,PG1633,B-Johnson+Vacio,2006-04-26,C,173203.0,10.80,219757.0,173791.0,173203.0,173203.0,0.788157,0.000000
376,377,3074o.fits,PG1633,B-Johnson+Vacio,2006-04-26,D,175917.0,11.12,219757.0,46516.1,175917.0,175917.0,0.800507,0.000000
377,378,3074o.fits,PG1633,B-Johnson+Vacio,2006-04-26,2R,172923.0,11.23,219757.0,175546.0,172923.0,172923.0,0.786883,0.000000
